epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,45368,1.70557,2.03757,1.49817,0.30427,0.14502,0.11632,0.05466,2.07169,2.60307,1.72301,0.000494885,0.000494885,0.000494885
43,46453.2,1.6906,1.99926,1.49581,0.30223,0.16996,0.11375,0.05393,2.05101,2.60435,1.71645,0.000486639,0.000486639,0.000486639
44,47537.3,1.6761,1.93383,1.4825,0.2723,0.14844,0.1113,0.05344,2.09096,2.64799,1.76014,0.000478392,0.000478392,0.000478392
45,48621.5,1.66556,1.96096,1.48811,0.30251,0.11833,0.10051,0.04983,2.03581,2.6851,1.68766,0.000470145,0.000470145,0.000470145
46,49710.2,1.65616,1.92648,1.4635,0.25614,0.16907,0.10656,0.05218,2.02591,2.6381,1.69727,0.000461898,0.000461898,0.000461898
47,50800.7,1.63436,1.93536,1.4778,0.31236,0.13753,0.10784,0.05458,2.00862,2.6075,1.68095,0.000453652,0.000453652,0.000453652
48,51892,1.64469,1.92212,1.45505,0.43541,0.12512,0.11352,0.05723,2.0312,2.54783,1.71598,0.000445405,0.000445405,0.000445405
49,52982.1,1.64843,1.86977,1.46013,0.33216,0.12984,0.11538,0.05333,2.03437,2.66631,1.70639,0.000437158,0.000437158,0.000437158
50,54036.2,1.6004,1.87207,1.43657,0.2722,0.16717,0.10622,0.05058,2.06287,2.65608,1.72336,0.000428912,0.000428912,0.000428912
51,55109.3,1.61213,1.79814,1.42127,0.29452,0.15624,0.11993,0.05602,2.0183,2.58407,1.68418,0.000420665,0.000420665,0.000420665
52,56190.1,1.57637,1.78994,1.42276,0.48052,0.1211,0.11018,0.05747,2.03184,2.61599,1.68235,0.000412418,0.000412418,0.000412418
53,57281.2,1.58832,1.78583,1.43145,0.29434,0.17836,0.12139,0.05933,2.01552,2.57371,1.69292,0.000404172,0.000404172,0.000404172
54,58362.4,1.60411,1.7825,1.4187,0.17352,0.12419,0.10255,0.0511,2.03814,2.66318,1.68192,0.000395925,0.000395925,0.000395925
55,59458.8,1.58825,1.76254,1.41327,0.26836,0.16425,0.11105,0.05258,2.05734,2.7399,1.69197,0.000387678,0.000387678,0.000387678
56,60552.7,1.56388,1.74022,1.40267,0.21193,0.17138,0.11933,0.06122,2.05344,2.69564,1.71121,0.000379431,0.000379431,0.000379431
57,61600.9,1.56011,1.67485,1.39755,0.24175,0.16814,0.13917,0.06756,2.063,2.67277,1.70903,0.000371185,0.000371185,0.000371185
58,62674.3,1.54291,1.64866,1.3848,0.29105,0.15333,0.12278,0.05968,2.05622,2.6111,1.71153,0.000362938,0.000362938,0.000362938
59,63774.4,1.53184,1.65073,1.38099,0.27543,0.17249,0.11653,0.05479,2.0672,2.74279,1.71188,0.000354691,0.000354691,0.000354691
60,64868.8,1.52904,1.61668,1.37014,0.32432,0.136,0.12098,0.06084,2.0661,2.59449,1.73313,0.000346445,0.000346445,0.000346445
61,65964.2,1.52462,1.63735,1.39993,0.41871,0.1318,0.12967,0.06063,2.07022,2.70366,1.74272,0.000338198,0.000338198,0.000338198
62,67058.9,1.47304,1.58533,1.34589,0.33135,0.13249,0.11968,0.05656,2.05173,2.72144,1.71943,0.000329951,0.000329951,0.000329951
63,68146.6,1.49173,1.59043,1.37311,0.1591,0.15064,0.11354,0.05692,2.0221,2.66258,1.7014,0.000321705,0.000321705,0.000321705
64,69240.1,1.50788,1.5989,1.36016,0.32421,0.16518,0.12793,0.06151,2.04503,2.70496,1.71274,0.000313458,0.000313458,0.000313458
65,70311,1.50875,1.58854,1.3704,0.30669,0.14924,0.11485,0.05444,2.04774,2.70693,1.71494,0.000305211,0.000305211,0.000305211
66,71411.9,1.48388,1.56687,1.34831,0.3838,0.12603,0.12535,0.06085,2.06993,2.69761,1.76243,0.000296964,0.000296964,0.000296964
67,72506.2,1.42239,1.49225,1.33442,0.24802,0.14988,0.12128,0.05905,2.07186,2.71041,1.72954,0.000288718,0.000288718,0.000288718
68,73607.7,1.46102,1.47628,1.34365,0.20492,0.14411,0.12261,0.06139,2.04952,2.70236,1.7106,0.000280471,0.000280471,0.000280471
69,74684.2,1.43846,1.48535,1.3381,0.19617,0.18138,0.12391,0.06085,2.06071,2.68194,1.72719,0.000272224,0.000272224,0.000272224
70,75766.4,1.43668,1.4522,1.33655,0.18966,0.14129,0.11539,0.05626,2.07834,2.70677,1.73218,0.000263978,0.000263978,0.000263978
71,76856.6,1.43152,1.45407,1.33013,0.31033,0.13557,0.11709,0.06194,2.0555,2.75776,1.74069,0.000255731,0.000255731,0.000255731
72,77938.7,1.42321,1.40484,1.31837,0.35319,0.12419,0.11956,0.061,2.05713,2.69486,1.71208,0.000247484,0.000247484,0.000247484
73,79025.1,1.38653,1.37351,1.31115,0.25688,0.11989,0.12047,0.06052,2.0832,2.77912,1.7275,0.000239238,0.000239238,0.000239238
74,80095.1,1.40298,1.3627,1.31263,0.13844,0.16029,0.1139,0.05706,2.08006,2.80202,1.7476,0.000230991,0.000230991,0.000230991
75,81181.2,1.36351,1.34682,1.29646,0.22034,0.13232,0.11339,0.05711,2.0731,2.76687,1.75931,0.000222744,0.000222744,0.000222744
76,82265.3,1.36488,1.33194,1.30141,0.17267,0.15736,0.11261,0.05756,2.08094,2.76338,1.75242,0.000214497,0.000214497,0.000214497
77,83372.1,1.35369,1.31924,1.30138,0.19514,0.14796,0.11759,0.06264,2.0679,2.82719,1.7431,0.000206251,0.000206251,0.000206251
78,84450,1.3633,1.28488,1.28103,0.29625,0.16133,0.11474,0.05745,2.08388,2.7645,1.7405,0.000198004,0.000198004,0.000198004
79,85526,1.34513,1.29269,1.27408,0.21368,0.13779,0.12035,0.06245,2.08762,2.78172,1.74653,0.000189757,0.000189757,0.000189757
80,86621.7,1.36133,1.33465,1.28896,0.20303,0.14741,0.12939,0.0661,2.06341,2.72941,1.72807,0.000181511,0.000181511,0.000181511
81,87701.4,1.29686,1.22607,1.25223,0.33901,0.13944,0.13719,0.07292,2.06086,2.72328,1.72857,0.000173264,0.000173264,0.000173264
82,88787.3,1.3034,1.22796,1.24174,0.20373,0.14708,0.11462,0.05912,2.12653,2.76652,1.76927,0.000165017,0.000165017,0.000165017
83,89877.3,1.31722,1.22814,1.26041,0.22078,0.13708,0.12056,0.0613,2.09086,2.8014,1.74925,0.000156771,0.000156771,0.000156771
84,90973.9,1.34333,1.22454,1.28018,0.20887,0.13779,0.11429,0.05676,2.11194,2.74123,1.75708,0.000148524,0.000148524,0.000148524
85,92061.6,1.29097,1.19101,1.24224,0.20676,0.136,0.11719,0.05908,2.10925,2.74527,1.76475,0.000140277,0.000140277,0.000140277
86,93148.3,1.2507,1.16308,1.22013,0.21561,0.12928,0.1198,0.06008,2.108,2.74312,1.74333,0.000132031,0.000132031,0.000132031
87,94234.7,1.28447,1.16881,1.22759,0.22265,0.14817,0.12158,0.0584,2.09304,2.80131,1.74609,0.000123784,0.000123784,0.000123784
88,95290.1,1.25779,1.14678,1.22991,0.36101,0.13562,0.12362,0.06077,2.15899,2.79121,1.79322,0.000115537,0.000115537,0.000115537
89,96417.7,1.26101,1.15196,1.22108,0.2186,0.14896,0.11884,0.05747,2.11157,2.76397,1.76819,0.00010729,0.00010729,0.00010729
90,97508.9,1.23364,1.12923,1.21049,0.19061,0.16137,0.13077,0.06363,2.1229,2.78016,1.77081,9.90437e-05,9.90437e-05,9.90437e-05
91,98612.6,1.2398,1.09991,1.21689,0.18835,0.14839,0.11733,0.06184,2.12172,2.78263,1.77957,9.0797e-05,9.0797e-05,9.0797e-05
92,99771.3,1.21498,1.05153,1.21922,0.18573,0.1601,0.11412,0.056,2.1275,2.85868,1.78044,8.25503e-05,8.25503e-05,8.25503e-05
93,100883,1.20486,1.01985,1.21651,0.37452,0.12528,0.1246,0.0659,2.13964,2.82735,1.78711,7.43036e-05,7.43036e-05,7.43036e-05
94,959.077,1.48559,1.57029,1.3998,0.21814,0.11503,0.10599,0.05073,2.22196,3.04341,1.92053,6.60569e-05,6.60569e-05,6.60569e-05
95,1952.49,1.39412,1.43632,1.35104,0.16202,0.14731,0.10789,0.05177,2.15374,2.90687,1.85613,5.78102e-05,5.78102e-05,5.78102e-05
96,2928.95,1.37354,1.36964,1.32238,0.20436,0.12433,0.10969,0.0511,2.15904,2.95516,1.84927,4.95635e-05,4.95635e-05,4.95635e-05
97,3840.57,1.38093,1.37372,1.3222,0.14123,0.15995,0.1087,0.0502,2.14728,2.93718,1.8433,4.13168e-05,4.13168e-05,4.13168e-05
98,4747.78,1.35822,1.35057,1.30501,0.16154,0.16511,0.11129,0.05074,2.13887,2.95125,1.82072,3.30701e-05,3.30701e-05,3.30701e-05
99,5651.59,1.36089,1.34146,1.31511,0.15814,0.17066,0.107,0.05056,2.12708,2.95665,1.81033,2.48234e-05,2.48234e-05,2.48234e-05
100,6558.39,1.3198,1.2947,1.2981,0.19353,0.12723,0.10892,0.05147,2.13762,2.95339,1.82149,1.65767e-05,1.65767e-05,1.65767e-05
